apt_group_a,apt_group_b,pairs,mean_similarity
APT 1,APT 1,81810,0.174049
APT 1,APT 10,98820,-0.011303
APT 1,APT 19,12960,0.019522
APT 1,APT 21,42930,0.029851
APT 1,APT 28,85455,0.007275
APT 1,APT 29,114615,-0.041715
APT 1,APT 30,66420,0.054112
APT 1,Dark Hotel,110565,0.031831
APT 1,Energetic Bear,53460,0.033573
APT 1,Equation Group,159975,-0.010952
APT 1,Gorgon Group,389205,-0.075989
APT 1,Winnti,156735,-0.009264
APT 10,APT 10,29646,0.090081
APT 10,APT 19,7808,0.013179
APT 10,APT 21,25864,0.019731
APT 10,APT 28,51484,0.019605
APT 10,APT 29,69052,0.022709
APT 10,APT 30,40016,-0.004632
APT 10,Dark Hotel,66612,0.005264
APT 10,Energetic Bear,32208,0.030631
APT 10,Equation Group,96380,-0.083239
APT 10,Gorgon Group,234484,-0.032716
APT 10,Winnti,94428,0.005168
APT 19,APT 19,496,0.07782
APT 19,APT 21,3392,0.008297
APT 19,APT 28,6752,0.02559
APT 19,APT 29,9056,0.013327
APT 19,APT 30,5248,-0.000446
APT 19,Dark Hotel,8736,0.012346
APT 19,Energetic Bear,4224,0.052133
APT 19,Equation Group,12640,-0.040507
APT 19,Gorgon Group,30752,-0.042912
APT 19,Winnti,12384,0.015713
APT 21,APT 21,5565,0.162852
APT 21,APT 28,22366,0.030254
APT 21,APT 29,29998,0.023785
APT 21,APT 30,17384,0.012281
APT 21,Dark Hotel,28938,0.003859
APT 21,Energetic Bear,13992,0.009901
APT 21,Equation Group,41870,-0.07967
APT 21,Gorgon Group,101866,-0.013829
APT 21,Winnti,41022,0.02126
APT 28,APT 28,22155,0.074845
APT 28,APT 29,59713,0.035241
APT 28,APT 30,34604,-0.018856
APT 28,Dark Hotel,57603,-0.006415
APT 28,Energetic Bear,27852,0.071046
APT 28,Equation Group,83345,-0.09466
APT 28,Gorgon Group,202771,-0.002883
APT 28,Winnti,81657,0.008566
APT 29,APT 29,39903,0.090872
APT 29,APT 30,46412,-0.027816
APT 29,Dark Hotel,77259,-0.008484
APT 29,Energetic Bear,37356,0.036981
APT 29,Equation Group,111785,-0.090862
APT 29,Gorgon Group,271963,0.005205
APT 29,Winnti,109521,0.027153
APT 30,APT 30,13366,0.208116
APT 30,Dark Hotel,44772,0.02249
APT 30,Energetic Bear,21648,-0.032149
APT 30,Equation Group,64780,-0.009368
APT 30,Gorgon Group,157604,-0.043796
APT 30,Winnti,63468,-0.001188
Dark Hotel,Dark Hotel,37128,0.068998
Dark Hotel,Energetic Bear,36036,0.023625
Dark Hotel,Equation Group,107835,-0.027385
Dark Hotel,Gorgon Group,262353,-0.047361
Dark Hotel,Winnti,105651,-0.005939
Energetic Bear,Energetic Bear,8646,0.714104
Energetic Bear,Equation Group,52140,-0.076084
Energetic Bear,Gorgon Group,126852,-0.139714
Energetic Bear,Winnti,51084,-0.026567
Equation Group,Equation Group,77815,0.995207
Equation Group,Gorgon Group,379595,-0.162716
Equation Group,Winnti,152865,-0.054009
Gorgon Group,Gorgon Group,461280,0.190862
Gorgon Group,Winnti,371907,-0.017059
Winnti,Winnti,74691,0.090524
